Vehicle Number,Purchase Price,Maintenance Costs,Doors,Persons,Luggae Boot,Safety,Rating
112,4,3,2,2,2,1,1
113,4,3,2,2,2,2,1
114,4,3,2,2,2,3,1
115,4,3,2,2,3,1,1
116,4,3,2,2,3,2,1
117,4,3,2,2,3,3,1
118,4,3,2,4,1,1,1
119,4,3,2,4,1,2,1
120,4,3,2,4,1,3,1
121,4,3,2,4,2,1,1
122,4,3,2,4,2,2,1
123,4,3,2,4,2,3,1
124,4,3,2,4,3,1,1
125,4,3,2,4,3,2,1
126,4,3,2,4,3,3,1
127,4,3,2,5,1,1,1
128,4,3,2,5,1,2,1
129,4,3,2,5,1,3,1
130,4,3,2,5,2,1,1
131,4,3,2,5,2,2,1
132,4,3,2,5,2,3,1
133,4,3,2,5,3,1,1
134,4,3,2,5,3,2,1
135,4,3,2,5,3,3,1
136,4,3,3,2,1,1,1
137,4,3,3,2,1,2,1
138,4,3,3,2,1,3,1
139,4,3,3,2,2,1,1
140,4,3,3,2,2,2,1
141,4,3,3,2,2,3,1
142,4,3,3,2,3,1,1
143,4,3,3,2,3,2,1
144,4,3,3,2,3,3,1
145,4,3,3,4,1,1,1
146,4,3,3,4,1,2,1
147,4,3,3,4,1,3,1
148,4,3,3,4,2,1,1
149,4,3,3,4,2,2,1
150,4,3,3,4,2,3,1
151,4,3,3,4,3,1,1
152,4,3,3,4,3,2,1
153,4,3,3,4,3,3,1
154,4,3,3,5,1,1,1
155,4,3,3,5,1,2,1
156,4,3,3,5,1,3,1
157,4,3,3,5,2,1,1
158,4,3,3,5,2,2,1
159,4,3,3,5,2,3,1
160,4,3,3,5,3,1,1
161,4,3,3,5,3,2,1
162,4,3,3,5,3,3,1
163,4,3,4,2,1,1,1
164,4,3,4,2,1,2,1
165,4,3,4,2,1,3,1
166,4,3,4,2,2,1,1
167,4,3,4,2,2,2,1
168,4,3,4,2,2,3,1
169,4,3,4,2,3,1,1
170,4,3,4,2,3,2,1
171,4,3,4,2,3,3,1
172,4,3,4,4,1,1,1
173,4,3,4,4,1,2,1
174,4,3,4,4,1,3,1
175,4,3,4,4,2,1,1
176,4,3,4,4,2,2,1
177,4,3,4,4,2,3,1
178,4,3,4,4,3,1,1
179,4,3,4,4,3,2,1
180,4,3,4,4,3,3,1
181,4,3,4,5,1,1,1
182,4,3,4,5,1,2,1
183,4,3,4,5,1,3,1
184,4,3,4,5,2,1,1
185,4,3,4,5,2,2,1
186,4,3,4,5,2,3,1
187,4,3,4,5,3,1,1
188,4,3,4,5,3,2,1
189,4,3,4,5,3,3,1
190,4,3,5,2,1,1,1
191,4,3,5,2,1,2,1
192,4,3,5,2,1,3,1
193,4,3,5,2,2,1,1
194,4,3,5,2,2,2,1
195,4,3,5,2,2,3,1
196,4,3,5,2,3,1,1
197,4,3,5,2,3,2,1
198,4,3,5,2,3,3,1
199,4,3,5,4,1,1,1
200,4,3,5,4,1,2,1
201,4,3,5,4,1,3,1
202,4,3,5,4,2,1,1
203,4,3,5,4,2,2,1
204,4,3,5,4,2,3,1
205,4,3,5,4,3,1,1
206,4,3,5,4,3,2,1
207,4,3,5,4,3,3,1
208,4,3,5,5,1,1,1
209,4,3,5,5,1,2,1
210,4,3,5,5,1,3,1
211,4,3,5,5,2,1,1
212,4,3,5,5,2,2,1
213,4,3,5,5,2,3,1
214,4,3,5,5,3,1,1
215,4,3,5,5,3,2,1
216,4,3,5,5,3,3,1
217,4,2,2,2,1,1,1
218,4,2,2,2,1,2,1
219,4,2,2,2,1,3,1
220,4,2,2,2,2,1,1
221,4,2,2,2,2,2,1
222,4,2,2,2,2,3,1
223,4,2,2,2,3,1,1
224,4,2,2,2,3,2,1
225,4,2,2,2,3,3,1
226,4,2,2,4,1,1,1
227,4,2,2,4,1,2,1
228,4,2,2,4,1,3,2
229,4,2,2,4,2,1,1
230,4,2,2,4,2,2,1
231,4,2,2,4,2,3,2
232,4,2,2,4,3,1,1
233,4,2,2,4,3,2,2
234,4,2,2,4,3,3,2
235,4,2,2,5,1,1,1
236,4,2,2,5,1,2,1
237,4,2,2,5,1,3,1
238,4,2,2,5,2,1,1
239,4,2,2,5,2,2,1
240,4,2,2,5,2,3,2
241,4,2,2,5,3,1,1
242,4,2,2,5,3,2,2
243,4,2,2,5,3,3,2
244,4,2,3,2,1,1,1
245,4,2,3,2,1,2,1
246,4,2,3,2,1,3,1
247,4,2,3,2,2,1,1
248,4,2,3,2,2,2,1
249,4,2,3,2,2,3,1
250,4,2,3,2,3,1,1
251,4,2,3,2,3,2,1
252,4,2,3,2,3,3,1
253,4,2,3,4,1,1,1
254,4,2,3,4,1,2,1
255,4,2,3,4,1,3,2
256,4,2,3,4,2,1,1
257,4,2,3,4,2,2,1
258,4,2,3,4,2,3,2
259,4,2,3,4,3,1,1
260,4,2,3,4,3,2,2
261,4,2,3,4,3,3,2
262,4,2,3,5,1,1,1
263,4,2,3,5,1,2,1
264,4,2,3,5,1,3,2
265,4,2,3,5,2,1,1
266,4,2,3,5,2,2,2
267,4,2,3,5,2,3,2
268,4,2,3,5,3,1,1
269,4,2,3,5,3,2,2
270,4,2,3,5,3,3,2
271,4,2,4,2,1,1,1
272,4,2,4,2,1,2,1
273,4,2,4,2,1,3,1
274,4,2,4,2,2,1,1
275,4,2,4,2,2,2,1
276,4,2,4,2,2,3,1
277,4,2,4,2,3,1,1
278,4,2,4,2,3,2,1
279,4,2,4,2,3,3,1
280,4,2,4,4,1,1,1
281,4,2,4,4,1,2,1
282,4,2,4,4,1,3,2
283,4,2,4,4,2,1,1
284,4,2,4,4,2,2,2
285,4,2,4,4,2,3,2
286,4,2,4,4,3,1,1
287,4,2,4,4,3,2,2
288,4,2,4,4,3,3,2
289,4,2,4,5,1,1,1
290,4,2,4,5,1,2,1
291,4,2,4,5,1,3,2
292,4,2,4,5,2,1,1
293,4,2,4,5,2,2,2
294,4,2,4,5,2,3,2
295,4,2,4,5,3,1,1
296,4,2,4,5,3,2,2
297,4,2,4,5,3,3,2
298,4,2,5,2,1,1,1
299,4,2,5,2,1,2,1
300,4,2,5,2,1,3,1
301,4,2,5,2,2,1,1
302,4,2,5,2,2,2,1
303,4,2,5,2,2,3,1
304,4,2,5,2,3,1,1
305,4,2,5,2,3,2,1
306,4,2,5,2,3,3,1
307,4,2,5,4,1,1,1
308,4,2,5,4,1,2,1
309,4,2,5,4,1,3,2
310,4,2,5,4,2,1,1
311,4,2,5,4,2,2,2
312,4,2,5,4,2,3,2
313,4,2,5,4,3,1,1
314,4,2,5,4,3,2,2
315,4,2,5,4,3,3,2
316,4,2,5,5,1,1,1
317,4,2,5,5,1,2,1
318,4,2,5,5,1,3,2
319,4,2,5,5,2,1,1
320,4,2,5,5,2,2,2
321,4,2,5,5,2,3,2
322,4,2,5,5,3,1,1
323,4,2,5,5,3,2,2
324,4,2,5,5,3,3,2
325,4,1,2,2,1,1,1
326,4,1,2,2,1,2,1
327,4,1,2,2,1,3,1
328,4,1,2,2,2,1,1
329,4,1,2,2,2,2,1
330,4,1,2,2,2,3,1
331,4,1,2,2,3,1,1
332,4,1,2,2,3,2,1
333,4,1,2,2,3,3,1
334,4,1,2,4,1,1,1
335,4,1,2,4,1,2,1
336,4,1,2,4,1,3,2
337,4,1,2,4,2,1,1
338,4,1,2,4,2,2,1
339,4,1,2,4,2,3,2
340,4,1,2,4,3,1,1
341,4,1,2,4,3,2,2
342,4,1,2,4,3,3,2
343,4,1,2,5,1,1,1
344,4,1,2,5,1,2,1
345,4,1,2,5,1,3,1
346,4,1,2,5,2,1,1
347,4,1,2,5,2,2,1
348,4,1,2,5,2,3,2
349,4,1,2,5,3,1,1
350,4,1,2,5,3,2,2
351,4,1,2,5,3,3,2
352,4,1,3,2,1,1,1
353,4,1,3,2,1,2,1
354,4,1,3,2,1,3,1
355,4,1,3,2,2,1,1
356,4,1,3,2,2,2,1
357,4,1,3,2,2,3,1
358,4,1,3,2,3,1,1
359,4,1,3,2,3,2,1
360,4,1,3,2,3,3,1
361,4,1,3,4,1,1,1
362,4,1,3,4,1,2,1
363,4,1,3,4,1,3,2
364,4,1,3,4,2,1,1
365,4,1,3,4,2,2,1
366,4,1,3,4,2,3,2
367,4,1,3,4,3,1,1
368,4,1,3,4,3,2,2
369,4,1,3,4,3,3,2
370,4,1,3,5,1,1,1
371,4,1,3,5,1,2,1
372,4,1,3,5,1,3,2
373,4,1,3,5,2,1,1
374,4,1,3,5,2,2,2
375,4,1,3,5,2,3,2
376,4,1,3,5,3,1,1
377,4,1,3,5,3,2,2
378,4,1,3,5,3,3,2
379,4,1,4,2,1,1,1
380,4,1,4,2,1,2,1
381,4,1,4,2,1,3,1
382,4,1,4,2,2,1,1
383,4,1,4,2,2,2,1
384,4,1,4,2,2,3,1
385,4,1,4,2,3,1,1
386,4,1,4,2,3,2,1
387,4,1,4,2,3,3,1
388,4,1,4,4,1,1,1
389,4,1,4,4,1,2,1
390,4,1,4,4,1,3,2
391,4,1,4,4,2,1,1
392,4,1,4,4,2,2,2
393,4,1,4,4,2,3,2
394,4,1,4,4,3,1,1
395,4,1,4,4,3,2,2
396,4,1,4,4,3,3,2
397,4,1,4,5,1,1,1
398,4,1,4,5,1,2,1
399,4,1,4,5,1,3,2
400,4,1,4,5,2,1,1
401,4,1,4,5,2,2,2
402,4,1,4,5,2,3,2
403,4,1,4,5,3,1,1
404,4,1,4,5,3,2,2
405,4,1,4,5,3,3,2
406,4,1,5,2,1,1,1
407,4,1,5,2,1,2,1
408,4,1,5,2,1,3,1
409,4,1,5,2,2,1,1
410,4,1,5,2,2,2,1
411,4,1,5,2,2,3,1
412,4,1,5,2,3,1,1
413,4,1,5,2,3,2,1
414,4,1,5,2,3,3,1
415,4,1,5,4,1,1,1
416,4,1,5,4,1,2,1
417,4,1,5,4,1,3,2
418,4,1,5,4,2,1,1
419,4,1,5,4,2,2,2
420,4,1,5,4,2,3,2
421,4,1,5,4,3,1,1
422,4,1,5,4,3,2,2
423,4,1,5,4,3,3,2
424,4,1,5,5,1,1,1
425,4,1,5,5,1,2,1
426,4,1,5,5,1,3,2
427,4,1,5,5,2,1,1
428,4,1,5,5,2,2,2
429,4,1,5,5,2,3,2
430,4,1,5,5,3,1,1
431,4,1,5,5,3,2,2
432,4,1,5,5,3,3,2
433,3,4,2,2,1,1,1
434,3,4,2,2,1,2,1
435,3,4,2,2,1,3,1
436,3,4,2,2,2,1,1
437,3,4,2,2,2,2,1
438,3,4,2,2,2,3,1
439,3,4,2,2,3,1,1
440,3,4,2,2,3,2,1
441,3,4,2,2,3,3,1
442,3,4,2,4,1,1,1
443,3,4,2,4,1,2,1
444,3,4,2,4,1,3,1
445,3,4,2,4,2,1,1
446,3,4,2,4,2,2,1
447,3,4,2,4,2,3,1
448,3,4,2,4,3,1,1
449,3,4,2,4,3,2,1
450,3,4,2,4,3,3,1
451,3,4,2,5,1,1,1
452,3,4,2,5,1,2,1
453,3,4,2,5,1,3,1
454,3,4,2,5,2,1,1
455,3,4,2,5,2,2,1
456,3,4,2,5,2,3,1
457,3,4,2,5,3,1,1
458,3,4,2,5,3,2,1
459,3,4,2,5,3,3,1
460,3,4,3,2,1,1,1
461,3,4,3,2,1,2,1
462,3,4,3,2,1,3,1
463,3,4,3,2,2,1,1
464,3,4,3,2,2,2,1
465,3,4,3,2,2,3,1
466,3,4,3,2,3,1,1
467,3,4,3,2,3,2,1
468,3,4,3,2,3,3,1
469,3,4,3,4,1,1,1
470,3,4,3,4,1,2,1
471,3,4,3,4,1,3,1
472,3,4,3,4,2,1,1
473,3,4,3,4,2,2,1
474,3,4,3,4,2,3,1
475,3,4,3,4,3,1,1
476,3,4,3,4,3,2,1
477,3,4,3,4,3,3,1
478,3,4,3,5,1,1,1
479,3,4,3,5,1,2,1
480,3,4,3,5,1,3,1
481,3,4,3,5,2,1,1
482,3,4,3,5,2,2,1
483,3,4,3,5,2,3,1
484,3,4,3,5,3,1,1
485,3,4,3,5,3,2,1
486,3,4,3,5,3,3,1
487,3,4,4,2,1,1,1
488,3,4,4,2,1,2,1
489,3,4,4,2,1,3,1
490,3,4,4,2,2,1,1
491,3,4,4,2,2,2,1
492,3,4,4,2,2,3,1
493,3,4,4,2,3,1,1
494,3,4,4,2,3,2,1
495,3,4,4,2,3,3,1
496,3,4,4,4,1,1,1
497,3,4,4,4,1,2,1
498,3,4,4,4,1,3,1
499,3,4,4,4,2,1,1
500,3,4,4,4,2,2,1
501,3,4,4,4,2,3,1
502,3,4,4,4,3,1,1
503,3,4,4,4,3,2,1
504,3,4,4,4,3,3,1
505,3,4,4,5,1,1,1
506,3,4,4,5,1,2,1
507,3,4,4,5,1,3,1
508,3,4,4,5,2,1,1
509,3,4,4,5,2,2,1
510,3,4,4,5,2,3,1
511,3,4,4,5,3,1,1
512,3,4,4,5,3,2,1
513,3,4,4,5,3,3,1
514,3,4,5,2,1,1,1
515,3,4,5,2,1,2,1
516,3,4,5,2,1,3,1
517,3,4,5,2,2,1,1
518,3,4,5,2,2,2,1
519,3,4,5,2,2,3,1
520,3,4,5,2,3,1,1
521,3,4,5,2,3,2,1
522,3,4,5,2,3,3,1
523,3,4,5,4,1,1,1
524,3,4,5,4,1,2,1
525,3,4,5,4,1,3,1
526,3,4,5,4,2,1,1
527,3,4,5,4,2,2,1
528,3,4,5,4,2,3,1
529,3,4,5,4,3,1,1
530,3,4,5,4,3,2,1
531,3,4,5,4,3,3,1
532,3,4,5,5,1,1,1
533,3,4,5,5,1,2,1
534,3,4,5,5,1,3,1
535,3,4,5,5,2,1,1
536,3,4,5,5,2,2,1
537,3,4,5,5,2,3,1
538,3,4,5,5,3,1,1
539,3,4,5,5,3,2,1
540,3,4,5,5,3,3,1
541,3,3,2,2,1,1,1
542,3,3,2,2,1,2,1
543,3,3,2,2,1,3,1
544,3,3,2,2,2,1,1
545,3,3,2,2,2,2,1
546,3,3,2,2,2,3,1
547,3,3,2,2,3,1,1
548,3,3,2,2,3,2,1
549,3,3,2,2,3,3,1
550,3,3,2,4,1,1,1
551,3,3,2,4,1,2,1
552,3,3,2,4,1,3,2
553,3,3,2,4,2,1,1
554,3,3,2,4,2,2,1
555,3,3,2,4,2,3,2
556,3,3,2,4,3,1,1
557,3,3,2,4,3,2,2
558,3,3,2,4,3,3,2
559,3,3,2,5,1,1,1
560,3,3,2,5,1,2,1
561,3,3,2,5,1,3,1
562,3,3,2,5,2,1,1
563,3,3,2,5,2,2,1
564,3,3,2,5,2,3,2
565,3,3,2,5,3,1,1
566,3,3,2,5,3,2,2
567,3,3,2,5,3,3,2
568,3,3,3,2,1,1,1
569,3,3,3,2,1,2,1
570,3,3,3,2,1,3,1
571,3,3,3,2,2,1,1
572,3,3,3,2,2,2,1
573,3,3,3,2,2,3,1
574,3,3,3,2,3,1,1
575,3,3,3,2,3,2,1
576,3,3,3,2,3,3,1
577,3,3,3,4,1,1,1
578,3,3,3,4,1,2,1
579,3,3,3,4,1,3,2
580,3,3,3,4,2,1,1
581,3,3,3,4,2,2,1
582,3,3,3,4,2,3,2
583,3,3,3,4,3,1,1
584,3,3,3,4,3,2,2
585,3,3,3,4,3,3,2
586,3,3,3,5,1,1,1
587,3,3,3,5,1,2,1
588,3,3,3,5,1,3,2
589,3,3,3,5,2,1,1
590,3,3,3,5,2,2,2
591,3,3,3,5,2,3,2
592,3,3,3,5,3,1,1
593,3,3,3,5,3,2,2
594,3,3,3,5,3,3,2
595,3,3,4,2,1,1,1
596,3,3,4,2,1,2,1
597,3,3,4,2,1,3,1
598,3,3,4,2,2,1,1
599,3,3,4,2,2,2,1
600,3,3,4,2,2,3,1
601,3,3,4,2,3,1,1
602,3,3,4,2,3,2,1
603,3,3,4,2,3,3,1
604,3,3,4,4,1,1,1
605,3,3,4,4,1,2,1
606,3,3,4,4,1,3,2
607,3,3,4,4,2,1,1
608,3,3,4,4,2,2,2
609,3,3,4,4,2,3,2
610,3,3,4,4,3,1,1
611,3,3,4,4,3,2,2
612,3,3,4,4,3,3,2
613,3,3,4,5,1,1,1
614,3,3,4,5,1,2,1
615,3,3,4,5,1,3,2
616,3,3,4,5,2,1,1
617,3,3,4,5,2,2,2
618,3,3,4,5,2,3,2
619,3,3,4,5,3,1,1
620,3,3,4,5,3,2,2
621,3,3,4,5,3,3,2
622,3,3,5,2,1,1,1
623,3,3,5,2,1,2,1
624,3,3,5,2,1,3,1
625,3,3,5,2,2,1,1
626,3,3,5,2,2,2,1
627,3,3,5,2,2,3,1
628,3,3,5,2,3,1,1
629,3,3,5,2,3,2,1
630,3,3,5,2,3,3,1
631,3,3,5,4,1,1,1
632,3,3,5,4,1,2,1
633,3,3,5,4,1,3,2
634,3,3,5,4,2,1,1
635,3,3,5,4,2,2,2
636,3,3,5,4,2,3,2
637,3,3,5,4,3,1,1
638,3,3,5,4,3,2,2
639,3,3,5,4,3,3,2
640,3,3,5,5,1,1,1
641,3,3,5,5,1,2,1
642,3,3,5,5,1,3,2
643,3,3,5,5,2,1,1
644,3,3,5,5,2,2,2
645,3,3,5,5,2,3,2
646,3,3,5,5,3,1,1
647,3,3,5,5,3,2,2
648,3,3,5,5,3,3,2
649,3,2,2,2,1,1,1
650,3,2,2,2,1,2,1
651,3,2,2,2,1,3,1
652,3,2,2,2,2,1,1
653,3,2,2,2,2,2,1
654,3,2,2,2,2,3,1
655,3,2,2,2,3,1,1
656,3,2,2,2,3,2,1
657,3,2,2,2,3,3,1
658,3,2,2,4,1,1,1
659,3,2,2,4,1,2,1
660,3,2,2,4,1,3,2
661,3,2,2,4,2,1,1
662,3,2,2,4,2,2,1
663,3,2,2,4,2,3,2
664,3,2,2,4,3,1,1
665,3,2,2,4,3,2,2
666,3,2,2,4,3,3,2
667,3,2,2,5,1,1,1
668,3,2,2,5,1,2,1
669,3,2,2,5,1,3,1
670,3,2,2,5,2,1,1
671,3,2,2,5,2,2,1
672,3,2,2,5,2,3,2
673,3,2,2,5,3,1,1
674,3,2,2,5,3,2,2
675,3,2,2,5,3,3,2
676,3,2,3,2,1,1,1
677,3,2,3,2,1,2,1
678,3,2,3,2,1,3,1
679,3,2,3,2,2,1,1
680,3,2,3,2,2,2,1
681,3,2,3,2,2,3,1
682,3,2,3,2,3,1,1
683,3,2,3,2,3,2,1
684,3,2,3,2,3,3,1
685,3,2,3,4,1,1,1
686,3,2,3,4,1,2,1
687,3,2,3,4,1,3,2
688,3,2,3,4,2,1,1
689,3,2,3,4,2,2,1
690,3,2,3,4,2,3,2
691,3,2,3,4,3,1,1
692,3,2,3,4,3,2,2
693,3,2,3,4,3,3,2
694,3,2,3,5,1,1,1
695,3,2,3,5,1,2,1
696,3,2,3,5,1,3,2
697,3,2,3,5,2,1,1
698,3,2,3,5,2,2,2
699,3,2,3,5,2,3,2
700,3,2,3,5,3,1,1
701,3,2,3,5,3,2,2
702,3,2,3,5,3,3,2
703,3,2,4,2,1,1,1
704,3,2,4,2,1,2,1
705,3,2,4,2,1,3,1
706,3,2,4,2,2,1,1
707,3,2,4,2,2,2,1
708,3,2,4,2,2,3,1
709,3,2,4,2,3,1,1
710,3,2,4,2,3,2,1
711,3,2,4,2,3,3,1
712,3,2,4,4,1,1,1
713,3,2,4,4,1,2,1
714,3,2,4,4,1,3,2
715,3,2,4,4,2,1,1
716,3,2,4,4,2,2,2
717,3,2,4,4,2,3,2
718,3,2,4,4,3,1,1
719,3,2,4,4,3,2,2
720,3,2,4,4,3,3,2
721,3,2,4,5,1,1,1
722,3,2,4,5,1,2,1
723,3,2,4,5,1,3,2
724,3,2,4,5,2,1,1
725,3,2,4,5,2,2,2
726,3,2,4,5,2,3,2
727,3,2,4,5,3,1,1
728,3,2,4,5,3,2,2
729,3,2,4,5,3,3,2
730,3,2,5,2,1,1,1
731,3,2,5,2,1,2,1
732,3,2,5,2,1,3,1
733,3,2,5,2,2,1,1
734,3,2,5,2,2,2,1
735,3,2,5,2,2,3,1
736,3,2,5,2,3,1,1
737,3,2,5,2,3,2,1
738,3,2,5,2,3,3,1
739,3,2,5,4,1,1,1
740,3,2,5,4,1,2,1
741,3,2,5,4,1,3,2
742,3,2,5,4,2,1,1
743,3,2,5,4,2,2,2
744,3,2,5,4,2,3,2
745,3,2,5,4,3,1,1
746,3,2,5,4,3,2,2
747,3,2,5,4,3,3,2
748,3,2,5,5,1,1,1
749,3,2,5,5,1,2,1
750,3,2,5,5,1,3,2
751,3,2,5,5,2,1,1
752,3,2,5,5,2,2,2
753,3,2,5,5,2,3,2
754,3,2,5,5,3,1,1
755,3,2,5,5,3,2,2
756,3,2,5,5,3,3,2
757,3,1,2,2,1,1,1
758,3,1,2,2,1,2,1
759,3,1,2,2,1,3,1
760,3,1,2,2,2,1,1
761,3,1,2,2,2,2,1
762,3,1,2,2,2,3,1
763,3,1,2,2,3,1,1
764,3,1,2,2,3,2,1
765,3,1,2,2,3,3,1
766,3,1,2,4,1,1,1
767,3,1,2,4,1,2,1
768,3,1,2,4,1,3,2
769,3,1,2,4,2,1,1
770,3,1,2,4,2,2,1
771,3,1,2,4,2,3,2
772,3,1,2,4,3,1,1
773,3,1,2,4,3,2,2
774,3,1,2,4,3,3,2
775,3,1,2,5,1,1,1
776,3,1,2,5,1,2,1
777,3,1,2,5,1,3,1
778,3,1,2,5,2,1,1
779,3,1,2,5,2,2,1
780,3,1,2,5,2,3,2
781,3,1,2,5,3,1,1
782,3,1,2,5,3,2,2
783,3,1,2,5,3,3,2
784,3,1,3,2,1,1,1
785,3,1,3,2,1,2,1
786,3,1,3,2,1,3,1
787,3,1,3,2,2,1,1
788,3,1,3,2,2,2,1
789,3,1,3,2,2,3,1
790,3,1,3,2,3,1,1
791,3,1,3,2,3,2,1
792,3,1,3,2,3,3,1
793,3,1,3,4,1,1,1
794,3,1,3,4,1,2,1
795,3,1,3,4,1,3,2
796,3,1,3,4,2,1,1
797,3,1,3,4,2,2,1
798,3,1,3,4,2,3,2
799,3,1,3,4,3,1,1
800,3,1,3,4,3,2,2
801,3,1,3,4,3,3,2
802,3,1,3,5,1,1,1
803,3,1,3,5,1,2,1
804,3,1,3,5,1,3,2
805,3,1,3,5,2,1,1
806,3,1,3,5,2,2,2
807,3,1,3,5,2,3,2
808,3,1,3,5,3,1,1
809,3,1,3,5,3,2,2
810,3,1,3,5,3,3,2
811,3,1,4,2,1,1,1
812,3,1,4,2,1,2,1
813,3,1,4,2,1,3,1
814,3,1,4,2,2,1,1
815,3,1,4,2,2,2,1
816,3,1,4,2,2,3,1
817,3,1,4,2,3,1,1
818,3,1,4,2,3,2,1
819,3,1,4,2,3,3,1
820,3,1,4,4,1,1,1
821,3,1,4,4,1,2,1
822,3,1,4,4,1,3,2
823,3,1,4,4,2,1,1
824,3,1,4,4,2,2,2
825,3,1,4,4,2,3,2
826,3,1,4,4,3,1,1
827,3,1,4,4,3,2,2
828,3,1,4,4,3,3,2
829,3,1,4,5,1,1,1
830,3,1,4,5,1,2,1
831,3,1,4,5,1,3,2
832,3,1,4,5,2,1,1
833,3,1,4,5,2,2,2
834,3,1,4,5,2,3,2
835,3,1,4,5,3,1,1
836,3,1,4,5,3,2,2
837,3,1,4,5,3,3,2
838,3,1,5,2,1,1,1
839,3,1,5,2,1,2,1
840,3,1,5,2,1,3,1
841,3,1,5,2,2,1,1
842,3,1,5,2,2,2,1
843,3,1,5,2,2,3,1
844,3,1,5,2,3,1,1
845,3,1,5,2,3,2,1
846,3,1,5,2,3,3,1
847,3,1,5,4,1,1,1
848,3,1,5,4,1,2,1
849,3,1,5,4,1,3,2
850,3,1,5,4,2,1,1
851,3,1,5,4,2,2,2
852,3,1,5,4,2,3,2
853,3,1,5,4,3,1,1
854,3,1,5,4,3,2,2
855,3,1,5,4,3,3,2
856,3,1,5,5,1,1,1
857,3,1,5,5,1,2,1
858,3,1,5,5,1,3,2
859,3,1,5,5,2,1,1
860,3,1,5,5,2,2,2
861,3,1,5,5,2,3,2
862,3,1,5,5,3,1,1
863,3,1,5,5,3,2,2
864,3,1,5,5,3,3,2
865,2,4,2,2,1,1,1
866,2,4,2,2,1,2,1
867,2,4,2,2,1,3,1
868,2,4,2,2,2,1,1
869,2,4,2,2,2,2,1
